iter	Passed	Remaining
0	146	29224
1	151	15046
2	157	10344
3	163	8008
4	169	6608
5	174	5656
6	180	4969
7	186	4471
8	192	4088
9	198	3775
10	205	3523
11	210	3300
12	216	3114
13	221	2946
14	227	2801
15	232	2673
16	237	2560
17	244	2467
18	249	2378
19	255	2298
20	260	2224
21	267	2161
22	272	2099
23	278	2042
24	285	1996
25	291	1948
26	296	1899
27	302	1856
28	308	1816
29	313	1777
30	318	1738
31	324	1704
32	331	1676
33	336	1644
34	343	1618
35	349	1591
36	356	1568
37	361	1543
38	367	1517
39	373	1493
40	378	1469
41	385	1449
42	391	1428
43	397	1407
44	404	1393
45	410	1374
46	416	1354
47	421	1335
48	427	1317
49	433	1300
50	439	1282
51	444	1266
52	450	1249
53	457	1235
54	462	1220
55	468	1204
56	474	1189
57	479	1175
58	485	1160
59	491	1146
60	496	1131
61	502	1117
62	507	1104
63	513	1090
64	518	1077
65	523	1063
66	528	1049
67	534	1037
68	539	1023
69	544	1011
70	550	999
71	555	988
72	561	976
73	566	964
74	571	953
75	577	942
76	583	931
77	588	920
78	594	909
79	599	899
80	604	888
81	610	877
82	615	868
83	620	857
84	626	847
85	632	837
86	637	828
87	643	819
88	649	809
89	654	799
90	659	789
91	665	780
92	670	771
93	676	762
94	681	753
95	686	744
96	692	735
97	698	726
98	703	717
99	709	709
100	715	700
101	720	691
102	725	682
103	730	674
104	735	665
105	740	656
106	746	648
107	752	640
108	757	632
109	762	624
110	769	616
111	774	608
112	780	600
113	785	592
114	791	585
115	797	577
116	803	569
117	809	562
118	815	554
119	821	547
120	827	539
121	832	532
122	838	524
123	843	517
124	849	509
125	855	502
126	860	494
127	866	487
128	871	479
129	877	472
130	883	465
131	889	458
132	895	451
133	901	443
134	907	436
135	912	429
136	918	422
137	924	415
138	930	408
139	935	401
140	941	393
141	947	386
142	952	379
143	958	372
144	964	365
145	969	358
146	975	351
147	981	344
148	987	338
149	993	331
150	999	324
151	1005	317
152	1011	310
153	1016	303
154	1022	296
155	1028	289
156	1033	283
157	1039	276
158	1045	269
159	1051	262
160	1056	256
161	1062	249
162	1068	242
163	1074	235
164	1080	229
165	1086	222
166	1092	215
167	1098	209
168	1105	202
169	1111	196
170	1117	189
171	1123	182
172	1128	176
173	1134	169
174	1140	162
175	1146	156
176	1151	149
177	1157	143
178	1163	136
179	1169	129
180	1174	123
181	1180	116
182	1185	110
183	1191	103
184	1196	97
185	1202	90
186	1207	83
187	1213	77
188	1218	70
189	1224	64
190	1229	57
191	1235	51
192	1240	44
193	1245	38
194	1251	32
195	1256	25
196	1261	19
197	1267	12
198	1272	6
199	1277	0
